type,value
gene_mean,1.1288665533065796
gene_mean,1.093836784362793
gene_mean,1.1653125286102295
gene_mean,1.1141119003295898
gene_mean,0.966227650642395
gene_mean,1.108128309249878
gene_mean,1.0628865957260132
gene_mean,1.0789740085601807
gene_mean,1.12612783908844
gene_mean,1.0176141262054443
gene_mean,1.1103039979934692
gene_mean,1.1138999462127686
gene_mean,1.0951957702636719
gene_mean,1.0546998977661133
gene_mean,1.0817993879318237
gene_mean,1.0278189182281494
gene_mean,1.070554494857788
gene_mean,1.0072189569473267
gene_mean,1.0580193996429443
gene_mean,1.0655696392059326
gene_mean,0.9814445972442627
gene_mean,1.0445235967636108
gene_mean,1.0826436281204224
gene_mean,1.0313209295272827
gene_mean,1.0915144681930542
gene_mean,1.055443525314331
gene_mean,1.1121351718902588
gene_mean,1.0131449699401855
gene_mean,1.0363720655441284
gene_mean,0.9744685292243958
gene_mean,1.0602188110351562
gene_mean,1.0233526229858398
gene_mean,0.9974222779273987
gene_mean,1.0620887279510498
gene_mean,0.8245763182640076
gene_mean,1.012579321861267
gene_mean,1.0545393228530884
gene_mean,0.9768062829971313
gene_mean,0.981762707233429
gene_mean,1.0262700319290161
gene_mean,0.9542579650878906
gene_mean,1.0844935178756714
gene_mean,0.9471291899681091
gene_mean,0.5745709538459778
gene_mean,1.0780056715011597
gene_mean,0.9691492319107056
gene_mean,1.0266011953353882
gene_mean,0.9982955455780029
gene_mean,1.0284886360168457
gene_mean,1.0373780727386475
gene_mean,0.9608231782913208
gene_mean,1.0012177228927612
gene_mean,0.9860929846763611
gene_mean,1.030192494392395
gene_mean,1.0063046216964722
gene_mean,0.9053434133529663
gene_mean,0.6121849417686462
gene_mean,1.0429017543792725
gene_mean,1.0396393537521362
gene_mean,0.9981616139411926
gene_mean,0.9341254234313965
gene_mean,0.8840118646621704
gene_mean,1.0234689712524414
gene_mean,0.9049317240715027
gene_mean,0.9953776597976685
gene_mean,0.7812739014625549
gene_mean,1.0098235607147217
gene_mean,0.9554742574691772
gene_mean,0.8972284197807312
gene_mean,0.9349631667137146
gene_mean,0.9615691304206848
gene_mean,0.9959059953689575
gene_mean,0.9753317832946777
gene_mean,0.9379982352256775
gene_mean,0.9330393671989441
gene_mean,0.9571825265884399
gene_mean,0.9802417159080505
gene_mean,0.8562104105949402
gene_mean,0.8498926162719727
gene_std,1.1767381429672241
gene_std,1.449945092201233
gene_std,0.7918206453323364
gene_std,1.66240394115448
gene_std,0.964156448841095
gene_std,0.8336389064788818
gene_std,0.798772394657135
gene_std,1.7951030731201172
gene_std,0.6765367984771729
gene_std,0.8582669496536255
gene_std,0.8008996248245239
gene_std,0.8130977153778076
gene_std,0.8023512959480286
gene_std,1.1750191450119019
gene_std,0.8149493336677551
gene_std,0.8814517259597778
gene_std,0.8393622040748596
gene_std,0.7490311861038208
gene_std,1.003954529762268
gene_std,0.9469037652015686
gene_std,0.849058210849762
gene_std,0.8980632424354553
gene_std,0.7554184794425964
gene_std,0.8069599866867065
gene_std,0.8196653127670288
gene_std,0.9178743958473206
gene_std,0.8573287129402161
gene_std,0.8453540802001953
gene_std,1.1458170413970947
gene_std,0.9161149263381958
gene_std,0.8708948493003845
gene_std,0.7703354358673096
gene_std,0.7884937524795532
gene_std,0.8588544726371765
gene_std,0.8587403893470764
gene_std,0.7767431735992432
gene_std,1.2104130983352661
gene_std,0.7347503900527954
gene_std,0.8372557759284973
gene_std,0.7492634057998657
gene_std,0.7033591270446777
gene_std,0.7792576551437378
gene_std,0.825904130935669
gene_std,1.2580931186676025
gene_std,1.176696538925171
gene_std,1.2733827829360962
gene_std,0.7919650673866272
gene_std,0.8655422925949097
gene_std,0.9356085062026978
gene_std,0.8285492062568665
gene_std,0.8037387728691101
gene_std,0.7969468832015991
gene_std,0.8682428598403931
gene_std,0.7988576292991638
